index,Unidades da Federacao,Unidade,Produto,Ano,Producao
393,Minas Gerais,(m3),Biodiesel,2019,1311120
394,Minas Gerais,(mil m3),Etanol anidro e hidratado,2019,357921
395,Para,(m3),Biodiesel,2019,0
396,Para,(mil m3),Etanol anidro e hidratado,2019,6123
397,Paraiba,(mil m3),Etanol anidro e hidratado,2019,35903
398,Parana,(m3),Biodiesel,2019,6299470
399,Parana,(mil m3),Etanol anidro e hidratado,2019,166463
400,Parana,(milhoes de m3),Gas Natural,2019,0
401,Pernambuco,(mil m3),Etanol anidro e hidratado,2019,36796
402,Piaui,(m3),Biodiesel,2019,0
403,Piaui,(mil m3),Etanol anidro e hidratado,2019,4646
404,Rio Grande do Norte,(m3),Biodiesel,2019,0
405,Rio Grande do Norte,(mil barris),LGN,2019,8190
406,Rio Grande do Norte,(mil barris),Petroleo,2019,139100
407,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2019,10964
408,Rio Grande do Norte,(milhoes de m3),Gas Natural,2019,3348
409,Rio Grande do Sul,(m3),Biodiesel,2019,16363360
410,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2019,164
411,Rio de Janeiro,(m3),Biodiesel,2019,1376730
412,Rio de Janeiro,(m3),Biometano,2019,0
413,Rio de Janeiro,(mil barris),LGN,2019,43300
414,Rio de Janeiro,(mil barris),Petroleo,2019,7658690
415,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2019,9162
416,Rio de Janeiro,(milhoes de m3),Gas Natural,2019,249862
417,Rondonia,(m3),Biodiesel,2019,158620
418,Rondonia,(mil m3),Etanol anidro e hidratado,2019,485
419,Santa Catarina,(m3),Biodiesel,2019,1304730
420,Sao Paulo,(m3),Biodiesel,2019,2310900
421,Sao Paulo,(m3),Biometano,2019,0
422,Sao Paulo,(mil barris),LGN,2019,193090
423,Sao Paulo,(mil barris),Petroleo,2019,1074600
424,Sao Paulo,(mil m3),Etanol anidro e hidratado,2019,1666825
425,Sao Paulo,(milhoes de m3),Gas Natural,2019,66942
426,Sergipe,(mil barris),LGN,2019,3480
427,Sergipe,(mil barris),Petroleo,2019,53750
428,Sergipe,(mil m3),Etanol anidro e hidratado,2019,10183
429,Sergipe,(milhoes de m3),Gas Natural,2019,6454
430,Tocantins,(m3),Biodiesel,2019,924890
431,Tocantins,(mil m3),Etanol anidro e hidratado,2019,16637
432,Acre,(mil m3),Etanol anidro e hidratado,2020,0
433,Alagoas,(mil barris),LGN,2020,3890
434,Alagoas,(mil barris),Petroleo,2020,93000
435,Alagoas,(mil m3),Etanol anidro e hidratado,2020,42589
436,Alagoas,(milhoes de m3),Gas Natural,2020,3095
437,Amazonas,(mil barris),LGN,2020,57480
438,Amazonas,(mil barris),Petroleo,2020,57770
439,Amazonas,(mil m3),Etanol anidro e hidratado,2020,901
440,Amazonas,(milhoes de m3),Gas Natural,2020,49572
441,Bahia,(m3),Biodiesel,2020,4385810
442,Bahia,(mil barris),LGN,2020,6740
443,Bahia,(mil barris),Petroleo,2020,100620
444,Bahia,(mil m3),Etanol anidro e hidratado,2020,27355
445,Bahia,(milhoes de m3),Gas Natural,2020,15631
446,Ceara,(m3),Biodiesel,2020,0
447,Ceara,(m3),Biometano,2020,247921090
448,Ceara,(mil barris),LGN,2020,0
449,Ceara,(mil barris),Petroleo,2020,58800
450,Ceara,(mil m3),Etanol anidro e hidratado,2020,0
451,Ceara,(milhoes de m3),Gas Natural,2020,62
452,Espirito Santo,(mil barris),LGN,2020,57520
453,Espirito Santo,(mil barris),Petroleo,2020,904000
454,Espirito Santo,(mil m3),Etanol anidro e hidratado,2020,8969
455,Espirito Santo,(milhoes de m3),Gas Natural,2020,23038
456,Goias,(m3),Biodiesel,2020,8784980
457,Goias,(mil m3),Etanol anidro e hidratado,2020,531805
458,Maranhao,(mil barris),Petroleo,2020,2400
459,Maranhao,(mil m3),Etanol anidro e hidratado,2020,17455
460,Maranhao,(milhoes de m3),Gas Natural,2020,13504
461,Mato Grosso,(m3),Biodiesel,2020,13833840
462,Mato Grosso,(mil m3),Etanol anidro e hidratado,2020,312387
463,Mato Grosso do Sul,(m3),Biodiesel,2020,3088900
464,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2020,287725
465,Minas Gerais,(m3),Biodiesel,2020,1318880
466,Minas Gerais,(mil m3),Etanol anidro e hidratado,2020,307821
467,Para,(m3),Biodiesel,2020,0
468,Para,(mil m3),Etanol anidro e hidratado,2020,5034
469,Paraiba,(mil m3),Etanol anidro e hidratado,2020,39553
470,Parana,(m3),Biodiesel,2020,7682400
471,Parana,(mil m3),Etanol anidro e hidratado,2020,126387
472,Parana,(milhoes de m3),Gas Natural,2020,0
473,Pernambuco,(mil m3),Etanol anidro e hidratado,2020,39502
474,Piaui,(m3),Biodiesel,2020,396430
475,Piaui,(mil m3),Etanol anidro e hidratado,2020,3861
